author,book_format,date_published,description,genres,goodreads_url,isbn,language,pages,publisher,rating_average,rating_count,settings,title
Joan Didion,Paperback,February 13th 2007,"'An act of consummate literary bravery, a writer known for her clarity allowing us to watch her mind as it becomes clouded with grief.'From one of America's iconic writers, a stunning book of electric honesty and passion. Joan Didion explores an intensely personal yet universal experience: a portrait of a marriage–and a life, in good times and bad–that will speak to anyone who has ever loved a husband or wife or child.Several days before Christmas 2003, John Gregory Dunne and Joan Didion saw their only daughter, Quintana, fall ill with what seemed at first flu, then pneumonia, then complete septic shock. She was put into an induced coma and placed on life support. Days later–the night before New Year's Eve–the Dunnes were just sitting down to dinner after visiting the hospital when John Gregory Dunne suffered a massive and fatal coronary. In a second, this close, symbiotic partnership of forty years was over. Four weeks later, their daughter pulled through. Two months after that, arriving at LAX, she collapsed and underwent six hours of brain surgery at UCLA Medical Center to relieve a massive hematoma.This powerful book is Didion's attempt to make sense of the ""weeks and then months that cut loose any fixed idea I ever had about death, about illness . . . about marriage and children and memory . . . about the shallowness of sanity, about life itself.""","['Autobiography', 'Writing', 'Biography', 'Audiobook', 'Essays', 'Biography Memoir', 'Literature', 'Death', 'Psychology', 'American', 'Memoir', 'Nonfiction']",https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,9781400078431,English,227,Vintage,3.89,153469,['United States'],The Year of Magical Thinking
David Baldacci,Paperback,September 1st 2005,"He's copying famous serial killers. And the HOUR GAME has just begun...A woman is found murdered in the woods. It seems like a simple case but it soon escalates into a terrible nightmare. Someone is replicating the killing styles of the most infamous murderers of all time. No one knows this criminal's motives...or who will die next.Two ex-Secret Service agents, Sean King and Michelle Maxwell, have been hired to defend a man's innocence in a burglary involving an aristocratic family. Then a series of secrets leads the partners right into the frantic hunt that is confounding even the FBI. Now King and Maxwell are playing the Hour Game, uncovering one horrifying revelation after another and putting their lives in danger. For the closer they get to the truth, the closer they get to the most shocking surprise of all.","['Adventure', 'Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Mystery Thriller', 'Suspense', 'Fiction', 'Action']",https://www.goodreads.com/book/show/85306.Hour_Game,9780446616492,English,611,Vision,3.98,41679,,Hour Game
Augusten Burroughs,Paperback,April 1st 2004,"You may not know it, but you've met Augusten Burroughs. You've seen him on the street, in bars, on the subway, at restaurants: a twenty-something guy, nice suit, works in advertising. Regular. Ordinary. But when the ordinary person had two drinks, Augusten was circling the drain by having twelve; when the ordinary person went home at midnight, Augusten never went home at all. Loud, distracting ties, automated wake-up calls, and cologne on the tongue could only hide so much for so long. At the request (well, it wasn't really a request) of his employers, Augusten landed in rehab, where his dreams of group therapy with Robert Downey, Jr., are immediately dashed by the grim reality of fluorescent lighting and paper hospital slippers. But when Augusten is forced to examine himself, something actually starts to click, and that's when he finds himself in the worst trouble of all. Because when his thirty days are up, he has to return to his same drunken Manhattan life and live it sober. What follows is a memoir that's as moving as it is funny, as heartbreaking as it is real.","['Autobiography', 'Biography', 'Audiobook', 'GLBT', 'LGBT', 'Biography Memoir', 'Humor', 'Queer', 'Psychology', 'Memoir', 'Nonfiction']",https://www.goodreads.com/book/show/32370.Dry,9780312423797,English,293,Picador USA,4.0,90041,,Dry
Alexander McCall Smith,Paperback,June 14th 2005,"44 SCOTLAND STREET - Book 1The residents and neighbors of 44 Scotland Street and the city of Edinburgh come to vivid life in these gently satirical, wonderfully perceptive serial novels, featuring six-year-old Bertie, a remarkably precocious boy—just ask his mother.  Welcome to 44 Scotland Street, home to some of Edinburgh's most colorful characters. There's Pat, a twenty-year-old who has recently moved into a flat with Bruce, an athletic young man with a keen awareness of his own appearance. Their neighbor, Domenica, is an eccentric and insightful widow. In the flat below are Irene and her appealing son Bertie, who is the victim of his mother’s desire for him to learn the saxophone and italian–all at the tender age of five.Love triangles, a lost painting, intriguing new friends, and an encounter with a famous Scottish crime writer are just a few of the ingredients that add to this delightful and witty portrait of Edinburgh society, which was first published as a serial in The Scotsman newspaper.","['European Literature', 'Contemporary', 'British Literature', 'Adult', 'Audiobook', 'Mystery', 'Scotland', 'Novels', 'Cultural', 'Humor', 'Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/97875.44_Scotland_Street,9781400079445,English,325,Anchor,3.61,21861,[],44 Scotland Street
Elizabeth Noble,Paperback,2005,"The Reading Group follows the trials and tribulations of a group of women who meet regularly to read and discuss books. Over the course of a year, each of these women’s lives becomes intertwined, both through the books they read and the real-life stories they tell.Inspired by a shared desire for conversation, a good book and a glass of wine, Clare, Harriet, Nicole, Polly and Susan undergo startling revelations and transformations despite their difference in background, age and respective dilemmas.In The Reading Group, Noble reveals the many complicated paths in life we all face as well as the power and importance of friendship.","['European Literature', 'Writing', 'Contemporary', 'Adult', 'British Literature', 'Book Club', 'Novels', 'Womens Fiction', 'Books About Books', 'Fiction', 'Chick Lit', 'Adult Fiction', 'Romance']",https://www.goodreads.com/book/show/44305.The_Reading_Group,9780060760441,English,429,Perennial,3.36,7803,['United Kingdom'],The Reading Group
Elizabeth Berg,Paperback,March 28th 2006,"In this rich and deeply satisfying novel by the beloved author of The Art of Mending, and Open House, a resilient woman embarks upon an unforgettable journey of adventure, self-discovery, and renewal.Betta Nolan moves to a small town after the death of her husband to try to begin anew. Pursuing a dream of a different kind of life, she is determined to find pleasure in her simple daily routines. Among those who help her in both expected and unexpected ways are the ten-year-old boy next door, three wild women friends from her college days, a twenty-year-old who is struggling to find his place in the world, and a handsome man who is ready for love.Elizabeth Berg's The Year of Pleasuresis about acknowledging the solace found in ordinary things: a warm bath, good food, the beauty of nature, music, friends, and art. ""Berg writes with humor and a big heart about resilience, loneliness, love, and hope. And the transcendence that redeems,"" said Andre Dubus about Durable Goods. And the same could be said about The Year of Pleasures.","['Contemporary', 'Audiobook', 'Novels', 'Womens Fiction', 'Womens', 'Fiction', 'Death', 'Chick Lit', 'Adult Fiction', 'Romance']",https://www.goodreads.com/book/show/127395.The_Year_of_Pleasures,9780812970999,English,206,Ballantine,3.7,13187,['United States'],The Year of Pleasures
Alexander McCall Smith,Hardcover,April 19th 2005,"Mma Ramotswe's normally unshakable composure is rattled when a visitor forces her to confront a secret from her past.In the newest addition to the universally beloved No. 1 Ladies’ Detective Agency series, the charming and ever-resourceful Precious Ramotswe finds herself overly beset by problems. She is already busier than usual at the detective agency when added to her concerns are a strange intruder in her house on Zebra Drive and the baffling appearance of a pumpkin. And then there is Mma Makutsi, who decides to treat herself to dance lessons, only to be partnered with a man who seems to have two left feet. Nor are things running quite as smoothly as they usually do at Tlokweng Road Speedy Motors. Mma Ramotswe’s husband, the estimable Mr. J.L.B. Matekoni, is overburdened with work even before one of his apprentices runs off with a wealthy woman. But what finally rattles Mma Ramotswe’s normally unshakable composure is a visitor who forces her to confront a secret from her past. . . . All this unfolds against the sunlit background of Mma Ramotswe’s beloved homeland, Botswana–a land of empty spaces, echoing skies, and an endless supply of soothing bush tea.","['Audiobook', 'Thriller', 'Mystery', 'Southern Africa', 'Crime', 'Detective', 'Mystery Thriller', 'Botswana', 'Cultural', 'Africa', 'Humor', 'Fiction', 'Cozy Mystery']",https://www.goodreads.com/book/show/7053.In_the_Company_of_Cheerful_Ladies,9780375422713,English,233,Pantheon,4.08,26364,['Botswana'],In the Company of Cheerful Ladies
Michael Connelly,Kindle Edition,October 1st 2005,"Mickey Haller has spent all his professional life afraid that he wouldn’t recognize innocence if it stood right in front of him. But what he should have been on the watch for was evil.Haller is a Lincoln Lawyer, a criminal defense attorney who operates out of the back seat of his Lincoln Town Car, traveling between the far-flung courthouses of Los Angeles to defend clients of every kind. Bikers, con artists, drunk drivers, drug dealers — they’re all on Mickey Haller’s client list. For him, the law is rarely about guilt or innocence — it’s about negotiation and manipulation. Sometimes it’s even about justice.A Beverly Hills playboy arrested for attacking a woman he picked up in a bar chooses Haller to defend him, and Mickey has his first high-paying client in years. It is a defense attorney’s dream, what they call a franchise case. And as the evidence stacks up, Haller comes to believe this may be the easiest case of his career.Then someone close to him is murdered and Haller discovers that his search for innocence has brought him face-to-face with evil as pure as a flame. To escape without being burned, he must deploy every tactic, feint, and instinct in his arsenal — this time to save his own life.","['Legal Thriller', 'Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Mystery Thriller', 'Suspense', 'Drama', 'Fiction']",https://www.goodreads.com/book/show/40612032-the-lincoln-lawyer,,English,405,"Little, Brown and Company",4.17,199534,['United States'],The Lincoln Lawyer
Stephen King,Mass Market Paperback,December 2006,"WHERE WERE YOU ON OCTOBER 1ST AT 3:03 P.M.?Graphic artist Clay Riddell was in the heart of Boston on that brilliant autumn afternoon when hell was unleashed before his eyes. Without warning, carnage and chaos reigned. Ordinary people fell victim to the basest, most animalistic destruction.And the apocalypse began with the ring of a cell phone....(back cover)","['Thriller', 'Post Apocalyptic', 'Zombies', 'Horror', 'Science Fiction', 'Fantasy', 'Suspense', 'Dystopia', 'Fiction', 'Apocalyptic']",https://www.goodreads.com/book/show/10567.Cell,9781416524519,English,449,Pocket Star Books,3.66,199311,['United States'],Cell
Kim Edwards,Paperback,May 30th 2006,"On a winter night in 1964, Dr. David Henry is forced by a blizzard to deliver his own twins. His son, born first, is perfectly healthy. Yet when his daughter is born, he sees immediately that she has Down's Syndrome. Rationalizing it as a need to protect Norah, his wife, he makes a split-second decision that will alter all of their lives forever. He asks his nurse to take the baby away to an institution and never to reveal the secret. But Caroline, the nurse, cannot leave the infant. Instead, she disappears into another city to raise the child herself. So begins this story that unfolds over a quarter of a century - in which these two families, ignorant of each other, are yet bound by the fateful decision made that long-ago winter night. Norah Henry, who knows only that her daughter died at birth, remains inconsolable; her grief weighs heavily on their marriage. And Paul, their son, raises himself as best he can, in a house grown cold with mourning. Meanwhile, Phoebe, the lost daughter, grows from a sunny child to a vibrant young woman whose mother loves her as fiercely as if she were her own.","['Contemporary', 'Adult', 'Book Club', 'Novels', 'Historical Fiction', 'Womens Fiction', 'Historical', 'Family', 'Drama', 'Fiction', 'Chick Lit', 'Adult Fiction']",https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,9780143037149,English,401,Penguin Books,3.68,569301,"['France', 'United States']",The Memory Keeper's Daughter
Janet Evanovich,Hardcover,June 20th 2006,"Welcome to Trenton, New Jersey, where bounty hunter Stephanie Plum's life is about to implode in Janet Evanovich's wildest, hottest novel yet! FIRST A STRANGER APPEARSWhile chasing down the usual cast of miscreants and weirdos Stephanie discovers that a crazed woman is stalking her. THEN THE STRANGER REVEALS HER SECRETSThe woman dresses in black, carries a 9mm Glock, and has a bad attitude and a mysterious connection to dark and dangerous Carlos Manoso …street name, Ranger.  NEXT, SOMEBODY DIESThe action turns deadly serious, and Stephanie goes from hunting skips to hunting a murderer.  SOON, THE CHASE IS ONRanger needs Stephanie for more reasons than he can say.  And now, the two are working together to find a killer, rescue a missing child, and stop a lunatic from raising the body count.  When Stephanie Plum and Ranger get too close for comfort, vice cop Joe Morelli (her on-again, off-again boyfriend) steps in.   Will the ticking clock stop at the stroke of twelve, or will a stranger in the wind find a way to stop Stephanie Plum…forever?  Filled with Janet Evanovich's trademark action, nonstop adventure, and sharp humor, Twelve Sharp shows why her novels have been called ""hot stuff"" (The New York Times), and Evanovich herself ""the master"" (San Francisco Examiner).","['Contemporary', 'Adult', 'Thriller', 'Mystery', 'Crime', 'Comedy', 'Mystery Thriller', 'Womens Fiction', 'Humor', 'Fiction', 'Chick Lit', 'Romance']",https://www.goodreads.com/book/show/3507.Twelve_Sharp,9780312349486,English,310,St. Martin's Press,4.15,91062,,Twelve Sharp
Diane Setterfield,Hardcover,September 12th 2006,"All children mythologize their birth...So begins the prologue of reclusive author Vida Winter's collection of stories, which are as famous for the mystery of the missing thirteenth tale as they are for the delight and enchantment of the twelve that do exist. The enigmatic Winter has spent six decades creating various outlandish life histories for herself -- all of them inventions that have brought her fame and fortune but have kept her violent and tragic past a secret. Now old and ailing, she at last wants to tell the truth about her extraordinary life. She summons biographer Margaret Lea, a young woman for whom the secret of her own birth, hidden by those who loved her most, remains an ever-present pain. Struck by a curious parallel between Miss Winter's story and her own, Margaret takes on the commission. As Vida disinters the life she meant to bury for good, Margaret is mesmerized. It is a tale of gothic strangeness featuring the Angelfield family, including the beautiful and willful Isabelle, the feral twins Adeline and Emmeline, a ghost, a governess, a topiary garden and a devastating fire. Margaret succumbs to the power of Vida's storytelling but remains suspicious of the author's sincerity. She demands the truth from Vida, and together they confront the ghosts that have haunted them while becoming, finally, transformed by the truth themselves. The Thirteenth Tale is a love letter to reading, a book for the feral reader in all of us, a return to that rich vein of storytelling that our parents loved and that we loved as children. Diane Setterfield will keep you guessing, make you wonder, move you to tears and laughter and, in the end, deposit you breathless yet satisfied back upon the shore of your everyday life.","['Writing', 'Adult', 'Thriller', 'Mystery', 'Book Club', 'Historical Fiction', 'Mystery Thriller', 'Historical', 'Gothic', 'Fantasy', 'Books About Books', 'Fiction']",https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,9780743298025,English,406,Atria Books,3.96,280554,['United Kingdom'],The Thirteenth Tale
Jodi Picoult,Paperback,October 24th 2006,"Fourteen-year-old Trixie Stone is in love for the first time. She's also the light of her father, Daniel's life -- a straight-A student; a pretty, popular freshman in high school; a girl who's always seen her father as a hero. That is, until her world is turned upside down with a single act of violence. Suddenly everything Trixie has believed about her family -- and herself -- seems to be a lie. Could the boyfriend who once made Trixie wild with happiness have been the one to end her childhood forever? She says that he is, and that is all it takes to make Daniel, a seemingly mild-mannered comic book artist with a secret tumultuous past he has hidden even from his family, venture to hell and back to protect his daughter.  With The Tenth Circle, Jodi Picoult offers her most powerful chronicle yet as she explores the unbreakable bond between parent and child, and questions whether you can reinvent yourself in the course of a lifetime -- or if your mistakes are carried forever.","['Contemporary', 'Adult', 'Mystery', 'Realistic Fiction', 'Novels', 'Womens Fiction', 'Young Adult', 'Drama', 'Fiction', 'Chick Lit', 'Adult Fiction']",https://www.goodreads.com/book/show/10909.The_Tenth_Circle,9780743496711,English,416,Allen & Ulwin,3.51,121948,['United States'],The Tenth Circle
Lemony Snicket,Hardcover,October 13th 2006,"The last volume of the fabulously popular A Series of Unfortunate Events series, in which the history of the Baudelaire orphans is brought to its end.You are presumably looking at the back of this book, or the end of the end. The end of the end is the best place to begin the end, because if you read the end from the beginning of the beginning of the end to the end of the end of the end, you will arrive at the end of the end of your rope. This book is the last in A Series of Unfortunate Events, and even if you braved the previous twelve volumes, you probably can't stand such unpleasantries as a fearsome storm, a suspicious beverage, a herd of wild sheep, an enormous bird cage, and a truly haunting secret about the Baudelaire parents. It has been my solemn occupation to complete the history of the Baudelaire orphans, and at last I am finished. You likely have some other occupation, so if I were you I would drop this book at once, so the end does not finish you. With all due respect, Lemony Snicket","['Adventure', 'Audiobook', 'Mystery', 'Young Adult', 'Fantasy', 'Humor', 'Fiction', 'Juvenile', 'Middle Grade', 'Childrens']",https://www.goodreads.com/book/show/65112.The_End,9780064410168,English,324,HarperCollins Publishers,4.01,91765,,The End
Sue Grafton,Mass Market Paperback,November 28th 2006,"Just after Independence Day in July 1953 Violet Sullivan, a local good time girl living in Serena Station Southern California, drives off in her brand new Chevy and is never seen again. Left behind is her young daughter, Daisy, and Violet's impetuous husband, Foley, who had been persuaded to buy his errant wife the car only days before . . .Now, thirty-five years later, Daisy wants closure.Reluctant to open such an old cold case Kinsey Millhone agrees to spend five days investigating, believing at first that Violet simply moved on to pastures new. But very soon it becomes clear that a lot of people shared a past with Violet, a past that some are still desperate to keep hidden. And in a town as close-knit as Serena there aren't many places to hide when things turn vicious . . .","['Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Mystery Thriller', 'Suspense', 'Womens', 'Murder Mystery', 'Fiction']",https://www.goodreads.com/book/show/142079.S_is_for_Silence,9780425212691,English,352,Berkley,3.93,24805,['United States'],S is for Silence
Mitch Albom,Hardcover,September 26th 2006,"""Every family is a ghost story...""Mitch Albom mesmerized readers around the world with his number one  New York Times  bestsellers, The Five People You Meet in Heaven and Tuesdays with Morrie. Now he returns with a beautiful, haunting novel about the family we love and the chances we miss.For One More Day is the story of a mother and a son, and a relationship that covers a lifetime and beyond. It explores the question: What would you do if you could spend one more day with a lost loved one? As a child, Charley ""Chick"" Benetto was told by his father, ""You can be a mama's boy or a daddy's boy, but you can't be both."" So he chooses his father, only to see the man disappear when Charley is on the verge of adolescence. Decades later, Charley is a broken man. His life has been crumbled by alcohol and regret. He loses his job. He leaves his family. He hits bottom after discovering his only daughter has shut him out of her wedding. And he decides to take his own life.He makes a midnight ride to his small hometown, with plans to do himself in. But upon failing even to do that, he staggers back to his old house, only to make an astonishing discovery. His mother, who died eight years earlier, is still living there, and welcomes him home as if nothing ever happened..What follows is the one ""ordinary"" day so many of us yearn for, a chance to make good with a lost parent, to explain the family secrets, and to seek forgiveness. Somewhere between this life and the next, Charley learns the astonishing things he never knew about his mother and her sacrifices. And he tries, with her tender guidance, to put the crumbled pieces of his life back together.Through Albom's inspiring characters and masterful storytelling, readers will newly appreciate those whom they love and may have thought they'd lost in their own lives. For One More Day is a book for anyone in a family, and will be cherished by Albom's millions of fans worldwide.","['Contemporary', 'Adult', 'Novels', 'Fantasy', 'Family', 'Drama', 'Self Help', 'Fiction', 'Inspirational', 'Adult Fiction']",https://www.goodreads.com/book/show/10929.For_One_More_Day,9781401303273,English,197,Hachette Books,4.09,129768,['United States'],For One More Day
Christopher Moore,Hardcover,March 21st 2006,"Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay—until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited for a new position: as Death.It's a dirty job. But, hey! Somebody's got to do it.","['Adult', 'Audiobook', 'Urban Fantasy', 'Comedy', 'Horror', 'Fantasy', 'Humor', 'Supernatural', 'Fiction', 'Paranormal']",https://www.goodreads.com/book/show/33456.A_Dirty_Job,9780060590277,English,387,William Morrow,4.02,112586,['United States'],A Dirty Job
Alison Bechdel,Paperback,June 5th 2007,"In this graphic memoir, Alison Bechdel charts her fraught relationship with her late father.Distant and exacting, Bruce Bechdel was an English teacher and director of the town funeral home, which Alison and her family referred to as the Fun Home. It was not until college that Alison, who had recently come out as a lesbian, discovered that her father was also gay. A few weeks after this revelation, he was dead, leaving a legacy of mystery for his daughter to resolve.","['Autobiography', 'Memoir', 'Graphic Novels', 'Biography', 'Sequential Art', 'Adult', 'GLBT', 'LGBT', 'Queer', 'Graphic Novels Comics', 'Comics', 'Nonfiction']",https://www.goodreads.com/book/show/26135825-fun-home,9780618871711,English,232,Mariner Books,4.07,140899,['United States'],Fun Home: A Family Tragicomic
Naomi Novik,Mass Market Paperback,March 28th 2006,"Aerial combat brings a thrilling new dimension to the Napoleonic Wars as valiant warriors ride mighty fighting dragons, bred for size or speed. When HMS Reliant captures a French frigate and seizes the precious cargo, an unhatched dragon egg, fate sweeps Captain Will Laurence from his seafaring life into an uncertain future – and an unexpected kinship with a most extraordinary creature. Thrust into the rarified world of the Aerial Corps as master of the dragon Temeraire, he will face a crash course in the daring tactics of airborne battle. For as France’s own dragon-borne forces rally to breach British soil in Bonaparte’s boldest gambit, Laurence and Temeraire must soar into their own baptism of fire.","['Adventure', 'Historical Fantasy', 'Historical Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Young Adult', 'Fiction', 'Science Fiction Fantasy', 'Dragons', 'Alternate History']",https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon,9780345481283,English,356,Del Rey,4.03,84425,['United Kingdom'],His Majesty's Dragon
Stieg Larsson,Hardcover,July 28th 2009,"Part blistering espionage thriller, part riveting police procedural, and part piercing exposé on social injustice, The Girl Who Played with Fire is a masterful, endlessly satisfying novel.  Mikael Blomkvist, crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend, the troubled genius hacker Lisbeth Salander. Blomkvist, convinced of Salander’s innocence, plunges into an investigation. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past.From the Trade Paperback edition.","['Contemporary', 'Adult', 'Audiobook', 'Thriller', 'Mystery', 'Sweden', 'Crime', 'Mystery Thriller', 'Suspense', 'Cultural', 'Fiction']",https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,9780307269980,English,503,Alfred A. Knopf,4.24,831704,['Sweden'],The Girl Who Played with Fire
James Patterson,Audiobook,February 6th 2008,"It is a wild race against time as Lieutenant Lindsay Boxer and the newest member of the Women's Murder Club, attorney Yuki Castellano, lead an investigation into a string of mysterious patient deaths--and reveal a hospital administration determined to shield its reputation at all costs. And while the hospital wages an explosive court battle that grips the entire nation, the Women's Murder Club hunts for a merciless killer among its esteemed medical staff. The newest addition to the top selling new mystery series takes the Women's Murder Club to the most terrifying heights of suspense they have yet to encounter. THE 5TH HORSEMAN proves once again that James Patterson is ""the page-turningest author in the game right now "" (San Francisco Chronicle).","['Adult', 'Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Mystery Thriller', 'Suspense', 'Murder Mystery', 'Fiction']",https://www.goodreads.com/book/show/21445.The_5th_Horseman,9781594831119,English,464,Time Warner AudioBooks,4.07,65004,['United States'],The 5th Horseman
Geraldine Brooks,Paperback,January 31st 2006,"Winner of the 2006 Pulitzer Prize for Fiction.From the author of the acclaimed Year of Wonders, a historical novel and love story set during a time of catastrophe, on the front lines of the American Civil War. Acclaimed author Geraldine Brooks gives us the story of the absent father from Louisa May Alcott's Little Women—and conjures a world of brutality, stubborn courage and transcendent love. An idealistic abolitionist, March has gone as chaplain to serve the Union cause. But the war tests his faith not only in the Union—which is also capable of barbarism and racism—but in himself. As he recovers from a near-fatal illness, March must reassemble and reconnect with his family, who have no idea of what he has endured. A love story set in a time of catastrophe, March explores the passions between a man and a woman, the tenderness of parent and child, and the life-changing power of an ardently held belief.","['Adult', 'Book Club', 'War', 'Novels', 'Historical Fiction', 'Historical', 'Fiction', 'Civil War', 'Military History', 'Literary Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/13529.March,9780143036661,English,280,Penguin,3.74,58359,,March
Kate Mosse,Paperback,February 6th 2007,"In the Pyrenees mountains near Carcassonne, Alice, a volunteer at an archaeological dig, stumbles into a cave and makes a startling discovery-two crumbling skeletons, strange writings on the walls, and the pattern of a labyrinth. Eight hundred years earlier, on the eve of a brutal crusade that will rip apart southern France, a young woman named Alais is given a ring and a mysterious book for safekeeping by her father. The book, he says, contains the secret of the true Grail, and the ring, inscribed with a labyrinth, will identify a guardian of the Grail. Now, as crusading armies gather outside the city walls of Carcassonne, it will take a tremendous sacrifice to keep the secret of the labyrinth safe.","['Adventure', 'Adult', 'Thriller', 'Mystery', 'France', 'Audiobook', 'Historical Fiction', 'Historical', 'Fantasy', 'Cultural', 'Fiction']",https://www.goodreads.com/book/show/14975.Labyrinth,9780425213971,English,515,Berkley Books,3.59,49246,['France'],Labyrinth
Scott Smith,Hardcover,July 18th 2006,"Trapped in the Mexican jungle, a group of friends stumble upon a creeping horror unlike anything they could ever imagine. Two young couples are on a lazy Mexican vacation–sun-drenched days, drunken nights, making friends with fellow tourists. When the brother of one of those friends disappears, they decide to venture into the jungle to look for him. What started out as a fun day-trip slowly spirals into a nightmare when they find an ancient ruins site . . . and the terrifying presence that lurks there.","['Adventure', 'Audiobook', 'Thriller', 'Mystery', 'Adult', 'Novels', 'Horror', 'Fantasy', 'Suspense', 'Supernatural', 'Fiction']",https://www.goodreads.com/book/show/21726.The_Ruins,9781400043873,English,319,Knopf,3.59,33754,['Mexico'],The Ruins
Gillian Flynn,Paperback,2006,"Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the unsolved murder of a preteen girl and the disappearance of another. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims—a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story—and survive this homecoming.Librarian's Note: this is an alternate cover edition - ISBN 10: 0307341550 (ISBN 13: 9780307341556)","['Contemporary', 'Adult', 'Audiobook', 'Thriller', 'Mystery', 'Crime', 'Mystery Thriller', 'Suspense', 'Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/18045891-sharp-objects,,English,254,Broadway Paperbacks,3.98,729960,['United States'],Sharp Objects
Marina Lewycka,Paperback,August 28th 2006,"A Short History of Tractors in Ukrainian was bestselling author Marina Lewycka's bestselling debut novel which has sold over one million copies worldwide. Lewycka tells the side-splittingly funny story of two feuding sisters, Vera and Nadezhda, who join forces against their father's new, gold-digging girlfriend.Two years after my mother died, my father fell in love with a glamorous blonde Ukrainian divorcée. He was eighty-four and she was thirty-six. She exploded into our lives like a fluffy pink grenade, churning up the murky water, bringing to the surface a sludge of sloughed-off memories, giving the family ghosts a kick up the backside.Sisters Vera and Nadezhda must aside a lifetime of feuding to save their émigré engineer father from voluptuous gold-digger Valentina. With her proclivity for green satin underwear and boil-in-the-bag cuisine, she will stop at nothing in her pursuit of Western wealth.But the sisters' campaign to oust Valentina unearths family secrets, uncovers fifty years of Europe's darkest history and sends them back to roots they'd much rather forget . . . .","['European Literature', 'Contemporary', 'British Literature', 'Ukraine', 'Book Club', 'Novels', 'Comedy', 'Humor', 'Cultural', 'Fiction', 'Literature', 'Family']",https://www.goodreads.com/book/show/828387.A_Short_History_of_Tractors_in_Ukrainian,9780141020525,English,326,Penguin Group,3.41,27813,,A Short History of Tractors in Ukrainian
Stephen King,Hardcover,October 24th 2006,"Lisey Debusher Landon lost her husband, Scott, two years ago, after a twenty-five year marriage of the most profound and sometimes frightening intimacy. Scott was an award-winning, bestselling novelist and a very complicated man. Early in their relationship, before they married, Lisey had to learn from him about books and blood and bools. Later, she understood that there was a place Scott went--a place that both terrified and healed him, that could eat him alive or give him the ideas he needed in order to live. Now it's Lisey's turn to face Scott's demons, Lisey's turn to go to Boo'ya Moon. What begins as a widow's efforts to sort through the papers of her celebrated husband becomes a nearly fatal journey into the darkness he inhabited. Perhaps King's most personal and powerful novel, Lisey's Story is about the wellsprings of creativity, the temptations of madness, and the secret language of love. (front flap)","['Audiobook', 'Thriller', 'Mystery', 'Horror', 'Fantasy', 'Supernatural', 'Suspense', 'Fiction', 'Romance', 'Paranormal']",https://www.goodreads.com/book/show/10566.Lisey_s_Story,9780743289412,English,513,Scribner,3.68,69023,['United States'],Lisey's Story
